Date,Currencies Total Value,Coins Total Value,Account Total Value,TRY,USD,BTC,ADA,AE,AERGO,ALGO,APPC,ARK,ARN,AST,ATOM2,BAT,BCH,BCPT,BCV,BKBT,BLZ,BNT,BRD,BTG,BTM,BTS,BTT,BTT2,CELR,CHZ,CND,COTI,CTXC,CVC,DACC,DAG,DASH,DCR,DLT,EDO,ELF,ENG,EOS,ETC,ETH,ETHOS,EVX,FUN,GNT,GO,IOT,JST,KNC,LOKI,LRC,LSK,LTC,LUN,MANA,MHC,MITH,MTC,NEBL,NEW,OGN,OMG,ONION,PERL,PHB,PIVX,PPT,QTUM,R,RDN,REP,RLC,RUFF,RVN,SC,SEELE,SKM,SNT,STORJ,STRAT,SWFTC,TFUEL,THETA,TOMO,TRX,USDT,USE,WAN,WIN,WIN2,WTC,XEM,XMX,XRP,ZEC,ZRX
17.02.2020,0,7.10864356,7.10864356,0,0,6.52474408,0,0.00000554,0.02445384,0.00009858,0.00000223,0.00001305,0.02026157,0,0.05852328,0.00000863,0.00003204,0,0,0,0.00000018,0.0000188,0.00000593,0.00005574,-0.00120814,0.00000318,0,0,0.03506622,0.01645944,0.00000055,0,0.00000096,0.00000229,0,0.01399325,0.01141031,0.00000004,0,0.00000283,0.0000033,0,0.04564792,0.0254801,0.04518307,0.00000351,0.01011666,0,0.00000646,0.03325242,0.01105449,0,0.00000866,0.01027104,0.00000143,0.02333925,0.00004659,0.01982074,0.00586404,0,0,0,0.00006315,0,0.00000583,0.02113362,0.00050593,0.0000031,0.01217559,0.01337218,0,0.0369131,0,0.00716623,0.00000115,0,0,0,0,0,0,0.00000173,0,0.00622104,0,0,0,0.01037766,0.00000054,0.02053285,0.01610628,0,0,0,0.02002863,0.00995727,0,0.00001667,0.00000096,0.00000595
15.02.2020,0,7.1127897,7.1127897,0,0,6.71118309,0,0.00000617,0.02434246,0.00009842,0.00000327,0.00001489,0,0,0.04596412,0.00000888,0.00003364,0,0,0,0.0000002,0.00001843,0.00000622,0.00005773,-0.00126342,0.00000329,0,0,0.02256628,0.01629028,0.00000059,0,0.00000107,0.00000218,0,0.01374298,0.01190976,0.00000004,0,0.00000328,0.00000311,0,0,0.01593041,0.04401203,0.00000328,0.01408418,0,0.0000069,0.0203818,0.01107237,0,0.00000871,0.01029396,0.00000168,0.02303473,0.00004787,0,0.00593322,0,0,0,0.0000647,0,0.00000493,0.00130403,0.0005306,0.00000346,0.01672136,0,0,0.02307374,0,0.00756132,0.00000114,0,0,0,0,0,0,0.00000188,0,0.00724795,0,0,0,0.0109041,0.00000057,0.02010058,0.01670833,0,0,0,0.0213406,-0.0026125,0,0.00001749,0.00000095,0.00000637
16.02.2020,0,7.09721799,7.09721799,0,0,6.61185517,0,0.00000569,0.02003307,0.00010017,0.0000025,0.00001285,0,0,0.05865163,0.00000833,0.00003166,0,0,0,0.00000018,0.00001738,0.00000592,0.00005532,-0.00119523,0.0000031,0,0,0.03514058,0.02629615,0.00000056,0,0.00000098,0.00000226,0,0.02323938,0.01083911,0.00000004,0,0.00000296,0.00000288,0,0.03268466,0.0297709,0.04297318,0.00000378,0.01030145,0,0.00000625,0.01962021,0.01062321,0,0.00000831,0.01032114,0.00000147,0.02445003,0.00004655,0,0.00591351,0,0,0,0.0000679,0,0.00000509,0.01342235,0.00050111,0.00000314,0.01217166,0,0,0.02143695,0,0.00752844,0.00000112,0,0,0,0,0,0,0.00000178,0,0.00616816,0,0,0,0.01061415,0.00000054,0.02007086,0.01631309,0,0,0,0.01956597,-0.00251514,0,0.00001669,0.00000088,0.00000596
18.02.2020,0,7.10577481,7.10577481,0,0,6.54126013,0,0.00000558,0.01968289,0.00010002,0.0000021,0.00001238,0.01563432,0.01975263,0.05805016,0.0000087,0.00003132,0,0,0,0.00000017,0.00001931,0.00000607,0.00005429,-0.00123582,0.00000309,0,0,0.03591526,0.01551435,0.00000053,0,0.00000096,0.00000216,0,0.00768313,0.01100773,0.00000004,0,0.00000299,0.00000316,0,0.04196089,0.02487924,0.04568225,0.00000347,0.01014169,0,0.0000068,0.0335869,0.01097064,0,0.00000914,0.01047605,0.00000152,0.02316879,0.00004688,0.01530218,0.00657475,0,0,0,0.00006163,0,0.00000568,0.02070147,0.00048209,0.00000316,0.01217353,0,0,0.03714568,0,0.0070092,0.00000112,0,0,0,0,0,0,0.00000184,0,0.00633668,0,0,0,0.01048104,0.00000053,0.01954822,0.01640056,0,0,0,0.01899953,0.01007055,0,0.00001653,0.00000094,0.00000599
19.02.2020,0,7.09111277,7.09111277,0,0,6.5591557,0,0.00000539,0.01808773,0.00010536,0.00000209,0.00001279,0.00001268,0.01023944,0.05176535,0.00000845,0.00003002,0.01949629,0,0,0.00000016,0.00001797,0.00000594,0.00005205,-0.00117921,0.00000301,0,0,0.03484397,0.01580261,0.00000051,0,0.0000009,0.00000206,0,0.00391955,0.01067959,0.00000003,0,0.000003,0.00000292,0,0.03856297,0.02366262,0.04433223,0.00000349,0.00927539,0,0.00000651,0.03284621,0.01051935,0,0.00001014,0.0105973,0.00000151,0.02150033,0.00004548,0.01501718,0.00613925,0,0,0,0.00006124,0,0.00000559,0.02009377,0.00046659,0.00000297,0.01088392,0,0,0.03654969,0,0.00683443,0.00000107,0,0,0,0,0,0,0.00000175,0,0.00692003,0,0,0,0.0101876,0.0000005,0.0207331,0.01486687,0,0,0,0.01818428,0.00970016,0,0.0000162,0.00000094,0.00000576
20.02.2020,0,7.08939113,7.08939113,0,0,6.47597621,0,0.00000536,0.01664264,0.00013178,0.00000205,0.00001136,0.00001252,0.00524446,0.04985362,0.00000842,0.00002936,0.01920624,0,0,0.00000015,0.00001906,0.00000616,0.00005263,-0.00116882,0.00000302,0,0,0.03276415,0.01564238,0.0000005,0,0.0000009,0.00000217,0,0.00378331,0.01058945,0.00000004,0,0.00000288,0.00000282,0,0.03865452,0.02376864,0.04408345,0.00000325,0.02412311,0,0.02481271,0.03211677,0.0104419,0,0.00001036,0.01003611,0.00000149,0.02048626,0.00004466,0.01466129,0.00576016,0,0,0,0.01222567,0,0.00000547,0.02201516,0.00046697,0.00000286,0.01065156,0,0,0.03564648,0,0.00695978,0.00000109,0,0,0,0,0,0,0.00000166,0,0.0064706,0,0,0,0.00003296,0.01824847,0.02072434,0.01396624,0,0,0,0.0182529,0.00960007,0,0.00001595,0.00000092,0.03627248
21.02.2020,0,7.09917947,7.09917947,0,0,6.48523409,0,0.00000542,0.01623094,0.00012568,0.00000205,0.00001264,0.00001249,0.00510203,0.04918066,0.00000862,0.00002972,0.01953647,0,0,0.00000016,0.00001946,0.00000592,0.00005282,-0.00117276,0.00000297,0,0,0.0332416,0.01612564,0.00000051,0,0.00000089,0.00000192,0,0.00383289,0.01076729,0.00000004,0,0.00000287,0.00000268,0,0.03904262,0.02504865,0.04503716,0.00000311,0.019215,0,0.02459323,0.03317751,0.01048173,0,0.00001166,0.00993928,0.00000179,0.01950619,0.0000468,0.01467735,0.00579809,0,0,0,0.01259676,0,0.00000523,0.02216284,0.00047068,0.00000305,0.01064255,0,0,0.03578528,0,0.00682137,0.00000109,0,0,0,0,0,0,0.00000163,0,0.00636114,0,0,0,0.00003193,0.01841729,0.02052205,0.01509124,0,0,0,0.01804533,0.00976499,0,0.000016,0.00000092,0.03749222
29.02.2020,0,7.05949128,7.05949128,0,0,6.36195207,0,0.00000506,0.01586591,0.00011261,0.00000191,0.00001265,0.00001096,0.01486734,0.04283669,0.0000078,0.00002717,0.0313839,0,0,0.00000015,0.0000174,0.00000575,0.00004714,-0.00107121,0.00000264,0.0016619,0,0.03152446,0.01399114,0.00000047,0.01516778,0.00000083,0.00000181,0.01480939,0,0.00963686,0.00000003,0,0.00000261,0.00000236,0,0.04516982,0.03173408,0.04198163,0.000004,0.02743967,0,0.02252716,0.0257141,0.0094606,0,0.00001486,0.02548927,0.00000179,0.01959737,0.00004199,0.02196325,0.00441068,0.01652128,0,0.00646441,0.01264793,0,0.00000654,0.01840289,0.00035395,0.0000024,0.02558158,0,0.00000022,0.01447507,0.01496515,0.00617534,0.00000096,0,0,0,0,0,0,0.00000154,0,0.01609203,0,0,0,0.00003161,0.01448991,0.01164818,0,0,0.00000038,0,0.03158265,0.00780459,0,0.00001513,0.00000083,0.03379086
28.02.2020,0,7.05932493,7.05932493,0,0,6.37361852,0,0.00000501,0.01585199,0.00011674,0.00000181,0.00001289,0.00001099,0.01499034,0.04327081,0.00000779,0.00002744,0.03131779,0,0,0.00000015,0.00001749,0.00000572,0.00004696,-0.00108213,0.0000026,0.00176682,0,0.03232453,0.01412827,0.00000047,0.01527896,0.00000083,0.00000187,0.01565952,0,0.0097931,0.00000003,0,0.00000266,0.00000233,0,0.04446538,0.03160468,0.04298039,0.00000417,0.02803937,0,0.02350181,0.02589137,0.00942587,0,0.00001204,0.02580093,0.00000186,0.01952264,0.00004251,0.02267594,0.00469733,0,0,0.0200285,0.01271013,0,0.00000639,0.01859279,0.00036696,0.00000233,0.02496587,0,0,0.01452311,0,0.00606947,0.00000096,0,0,0,0,0,0,0.00000153,0,0.01557801,0,0,0,0.00003207,0.01470512,0.01143203,0,0,0.00000037,0,0.03212495,0.0079403,0,0.00001536,0.00000085,0.03437924
05.03.2020,0,7.09038771,7.09038771,0,0,6.40196467,0,0.00000517,0.01584809,0.00012246,0.0000022,0.00001221,0.00001154,0.01038187,0.04406252,0.00000813,0.00002817,0.02851275,0,0,0.00000016,0.00001793,0.00000586,0.0000653,-0.00110231,0.00000275,0.00151529,0,0.03269311,0.01210577,0.0000005,0,0.00000101,0.00000215,0.01301722,0,0.00959131,0.00000004,0,0.00000278,0.00000263,0,0.04566653,0.02823556,0.04147259,0.00000396,0.02383722,0,0.02295744,0.04336944,0.00961647,0,0.00001513,0.02470273,0.00000186,0.01997041,0.00004217,0.01367303,0.00540946,0.01601741,0,0,0.01290055,0,0.00000663,0.01918693,0.00034794,0.00000297,0.02641408,0,0.0000002,0.02945851,0.00457324,0.00663335,0.00000103,0,0,0.0159496,0,0,0,0.00000163,0,0.00634429,0,0,0,0.00003194,0.01478279,0.0110058,0,0,0.00000036,0.00000018,0.03229932,0.00825568,0,0.00001485,0.00000083,0.03830232
